2026-08-16 18:21:02 [INFO] Новое подключение: Устройство или оператор подключились к облаку!
2026-08-16 18:23:52 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:53 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:54 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:55 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:56 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:57 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:58 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:59 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:00 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:01 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:02 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:03 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:04 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:05 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:07 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:08 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:09 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:10 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:11 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:12 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:13 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:14 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:15 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:16 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:17 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:18 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
